date,country,clicks,impressions,ctr,position
2026-07-17,fra,3,44,0.06818181818181818,8.545454545454547
2026-07-02,fra,2,32,0.0625,9.4375
2026-07-02,usa,2,66,0.030303030303030304,9.378787878787879
2026-07-03,usa,2,45,0.044444444444444446,8.933333333333334
2026-07-04,usa,2,47,0.0425531914893617,10.872340425531915
2026-07-05,gbr,2,9,0.2222222222222222,20
2026-07-13,gbr,2,18,0.1111111111111111,24.72222222222222
2026-06-28,fra,1,5,0.2,8.6
2026-06-29,mex,1,1,1,1
2026-06-29,usa,1,31,0.03225806451612903,14.935483870967742
2026-06-30,fra,1,12,0.08333333333333333,7.833333333333333
2026-06-30,nga,1,1,1,10
2026-06-30,usa,1,38,0.02631578947368421,16.55263157894737
2026-07-05,bol,1,1,1,6
2026-07-05,usa,1,71,0.014084507042253521,13.014084507042254
2026-07-06,alb,1,1,1,21
2026-07-06,usa,1,74,0.013513513513513514,38.527027027027025
2026-07-07,deu,1,6,0.16666666666666666,18.5
2026-07-07,fra,1,16,0.0625,8.125
2026-07-09,deu,1,2,0.5,8.5
2026-07-11,esp,1,1,1,8
2026-07-11,fra,1,30,0.03333333333333333,7.5
2026-07-11,gbr,1,6,0.16666666666666666,23.166666666666668
2026-07-11,prt,1,3,0.3333333333333333,8.666666666666668
2026-07-12,rou,1,1,1,23
2026-07-13,bra,1,5,0.2,14.8
2026-07-13,fra,1,55,0.01818181818181818,8.872727272727273
2026-07-13,ukr,1,3,0.3333333333333333,28.666666666666668
2026-07-13,usa,1,81,0.012345679012345678,36.91358024691358
2026-07-14,aus,1,15,0.06666666666666667,47.266666666666666
2026-07-14,fra,1,49,0.02040816326530612,9.244897959183673
2026-07-14,gbr,1,20,0.05,26.15
2026-07-14,kaz,1,1,1,7
2026-07-14,mys,1,4,0.25,29.5
2026-07-15,fra,1,61,0.01639344262295082,9.721311475409836
2026-07-15,phl,1,9,0.1111111111111111,29.22222222222222
2026-07-15,usa,1,59,0.01694915254237288,19.23728813559322
2026-07-16,can,1,19,0.05263157894736842,42.94736842105263
2026-07-16,fra,1,39,0.02564102564102564,9.23076923076923
2026-07-16,irn,1,1,1,10
2026-07-16,usa,1,132,0.007575757575757576,26.083333333333332
2026-06-28,aus,0,1,0,18
2026-06-28,bel,0,1,0,11
2026-06-28,can,0,1,0,6
2026-06-28,esp,0,1,0,23
2026-06-28,gbr,0,3,0,11
2026-06-28,mar,0,1,0,8
2026-06-28,nld,0,1,0,20
2026-06-28,nzl,0,2,0,11.5
2026-06-28,usa,0,26,0,15.615384615384615
2026-06-29,abw,0,1,0,6
2026-06-29,aus,0,1,0,8
2026-06-29,bih,0,1,0,4
2026-06-29,bra,0,3,0,15
2026-06-29,che,0,1,0,18
2026-06-29,chn,0,1,0,10
2026-06-29,deu,0,2,0,23.5
2026-06-29,ecu,0,2,0,10
2026-06-29,esp,0,1,0,9
2026-06-29,fra,0,4,0,8.25
2026-06-29,gbr,0,3,0,26.666666666666668
2026-06-29,irl,0,1,0,7
2026-06-29,nor,0,2,0,20
2026-06-29,swe,0,1,0,17
2026-06-29,twn,0,2,0,10.5
2026-06-30,bel,0,1,0,9
2026-06-30,bra,0,2,0,15
2026-06-30,can,0,5,0,23.2
2026-06-30,deu,0,1,0,9
2026-06-30,esp,0,1,0,10
2026-06-30,fin,0,1,0,11
2026-06-30,gbr,0,2,0,9
2026-06-30,ind,0,2,0,4.5
2026-06-30,lva,0,1,0,11
2026-06-30,mex,0,1,0,10
2026-06-30,nld,0,4,0,12
2026-06-30,phl,0,1,0,61
2026-06-30,prt,0,1,0,9
2026-06-30,rus,0,1,0,10
2026-06-30,svn,0,1,0,23
2026-06-30,swe,0,2,0,19
2026-06-30,ukr,0,1,0,14
2026-06-30,vct,0,2,0,7
2026-07-01,and,0,1,0,20
2026-07-01,aus,0,3,0,20
2026-07-01,bel,0,1,0,7
2026-07-01,bih,0,1,0,27
2026-07-01,bra,0,1,0,19
2026-07-01,can,0,4,0,16
2026-07-01,cog,0,1,0,8
